strategy,seed_config,seed1,seed2,trial,final_loss,train_rmse,train_mae,train_mape,test_rmse,test_mae,test_mape
independent,independent_456_300,456,300,5,1103056.25,887.5270753889022,819.3155517578125,13.668975150395982,3812.463966330211,3727.8564453125,41.94070499683283
independent,independent_456_300,456,300,6,1269551.125,1012.0349939539443,947.9975382486979,15.853890707973461,3943.861236239405,3862.13330078125,43.484618437158865
independent,independent_456_300,456,300,7,1205362.375,680.0679800822276,598.4046630859375,9.923992857836135,3584.6401227805823,3494.52099609375,39.25781720581522
independent,independent_456_300,456,300,8,1258094.75,993.3843876641233,928.8879597981771,15.529425595226328,3924.3361064506144,3842.19287109375,43.25534365042862
independent,independent_456_300,456,300,9,1380446.5,1639.4766770653603,1600.63525390625,27.026577632190584,4585.05409326994,4514.94775390625,50.990670054917764
independent,independent_789_400,789,400,0,1662337.875,389.80663605977173,300.82470703125,5.331749476918343,2866.2981174197125,2752.76171875,30.729079220555537
independent,independent_789_400,789,400,1,1552309.375,691.153806597137,610.2801513671875,10.124449414946508,3597.270663840199,3507.47607421875,39.40677451620083
independent,independent_789_400,789,400,2,1233430.0,407.67339517310614,315.36293538411456,5.607718645249726,2828.5616894785085,2713.44677734375,30.27703656412866
independent,independent_789_400,789,400,3,1114599.5,555.1613837099511,472.3317057291667,7.821915870658176,3435.480979167739,3341.34130859375,37.49655926236246
independent,independent_789_400,789,400,4,1497694.5,358.0933340948905,289.3125,5.042846962803673,2974.7601559279647,2865.5244140625,32.02562314283168
independent,independent_789_400,789,400,5,1301015.625,363.3628021705235,289.3125,5.068298460875198,2946.029301642933,2835.68701171875,31.682553100402416
independent,independent_789_400,789,400,6,1591912.375,397.2273328590782,306.3216145833333,5.438173137542425,2849.8179511310586,2735.59765625,30.53172706562282
independent,independent_789_400,789,400,7,1392458.0,699.1779087479862,618.8331705729166,10.26882316550516,3606.368916965156,3516.806640625,39.51405724061507
independent,independent_789_400,789,400,8,1715856.125,363.15608358088036,289.3125,5.0674787749438845,2946.9542591488034,2836.64794921875,31.693601946582085
independent,independent_789_400,789,400,9,1951697.625,462.56040944427343,390.1803385416667,6.497682318730989,3308.994122897021,3211.1484375,35.99960341829999
independent,independent_321_500,321,500,0,954635.0,926.6337416805281,860.0381673177084,14.360412069489279,3854.0243894690843,3770.349609375,42.42929081371876
independent,independent_321_500,321,500,1,1582423.5,848.8813502008604,778.7356567382812,12.979961510096647,3771.0698808010293,3685.51220703125,41.45383152653469
independent,independent_321_500,321,500,2,862203.375,892.207500469014,824.2064208984375,13.752018133853374,3817.454372703207,3732.9599609375,41.99938514940897
independent,independent_321_500,321,500,3,951959.625,834.8478794494831,763.9058227539062,12.728162980462917,3755.947787964949,3670.03759765625,41.27590468043412
independent,independent_321_500,321,500,4,889450.4375,833.2402095249544,762.2034708658854,12.699258428815577,3754.21207081705,3668.26123046875,41.25548003490484
independent,independent_321_500,321,500,5,1355508.5,409.0030307237776,336.86865234375,5.648571936410374,3218.5461404608373,3117.86328125,34.92701197270414
independent,independent_321_500,321,500,6,1004205.9375,965.0160715189174,899.7196248372396,15.034170971151205,3894.541599675891,3811.75634765625,42.90538492189038
independent,independent_321_500,321,500,7,1442187.0,671.3211429752714,588.9837646484375,9.764969428993265,3574.621888620676,3484.24365234375,39.13964844850344
independent,independent_321_500,321,500,8,1118867.125,1127.640483389299,1070.38427734375,17.948597824066102,4063.9606574230024,3984.69677734375,44.89385160766583
independent,independent_321_500,321,500,9,1289787.75,479.51202086435694,406.2419026692708,6.756145915007888,3334.017890983766,3236.9287109375,36.29602464827659
