model_name,seed,rmse,mae,mape,compute_time,success,seed_idx,trial,original_seed
LSTM_Config2,343558721,391.4644,348.78552,5.704570934176445,3.9983580112457275,True,3,49,343558721
LSTM_Config2,750885746,940.7594,829.5672,13.291321694850922,4.360310792922974,True,4,0,750885746
LSTM_Config2,390498116,270.38226,219.69295,3.69236022233963,4.060927867889404,True,4,1,390498116
LSTM_Config2,245957462,287.1662,225.12459,3.802456706762314,4.058701753616333,True,4,2,245957462
LSTM_Config2,976498125,1549.5402,1143.1201,18.73175948858261,4.433964729309082,True,4,3,976498125
LSTM_Config2,235469723,319.17752,225.24011,3.8424696773290634,4.111563682556152,True,4,4,235469723
LSTM_Config2,1515409311,993.5218,861.3833,14.177529513835907,4.079007625579834,True,4,5,1515409311
LSTM_Config2,683278461,313.87,260.13345,4.3352484703063965,4.453537225723267,True,4,6,683278461
LSTM_Config2,1493624248,282.51477,227.57442,3.8065552711486816,4.099701404571533,True,4,7,1493624248
LSTM_Config2,470987741,925.85175,799.15094,13.158847391605377,4.087641954421997,True,4,8,470987741
LSTM_Config2,1668241785,583.9844,465.4646,7.460816949605942,4.476915597915649,True,4,9,1668241785
LSTM_Config2,262335999,307.02628,243.42078,4.0979452431201935,4.077960968017578,True,4,10,262335999
LSTM_Config2,351684389,286.7861,215.66643,3.710803762078285,4.0744242668151855,True,4,11,351684389
LSTM_Config2,1520076856,292.90347,228.3352,3.8475263863801956,4.490607500076294,True,4,12,1520076856
LSTM_Config2,948834533,757.6326,675.971,11.252205818891525,4.06718897819519,True,4,13,948834533
LSTM_Config2,1020347522,555.47186,482.07056,7.7567413449287415,4.018643379211426,True,4,14,1020347522
LSTM_Config2,1979696779,405.87604,303.27536,5.2031900733709335,4.405611038208008,True,4,15,1979696779
LSTM_Config2,149079929,522.683,437.41208,7.236435264348984,4.054628133773804,True,4,16,149079929
LSTM_Config2,122170460,347.15613,272.70422,4.503007605671883,4.003961086273193,True,4,17,122170460
LSTM_Config2,1166551687,351.5077,297.67725,4.893025383353233,4.324135065078735,True,4,18,1166551687
LSTM_Config2,1463961868,356.48883,268.78598,4.606805369257927,4.044764280319214,True,4,19,1463961868
LSTM_Config2,1236433385,881.053,599.1005,10.26175245642662,3.9697282314300537,True,4,20,1236433385
LSTM_Config2,275718575,240.42146,195.77242,3.2278206199407578,4.487338542938232,True,4,21,275718575
LSTM_Config2,1497243668,311.73758,262.52112,4.360449314117432,4.070101499557495,True,4,22,1497243668
LSTM_Config2,537081850,377.82733,333.8583,5.450696125626564,4.07818865776062,True,4,23,537081850
LSTM_Config2,814874364,292.55225,209.51445,3.5761144012212753,4.474707365036011,True,4,24,814874364
LSTM_Config2,1905374862,311.85995,256.90347,4.298434779047966,4.075368404388428,True,4,25,1905374862
LSTM_Config2,1109448575,308.5735,256.91675,4.290775954723358,4.0547096729278564,True,4,26,1109448575
LSTM_Config2,1483083166,497.7559,403.8552,6.7814067006111145,4.5089404582977295,True,4,27,1483083166
LSTM_Config2,2041301681,299.26593,228.87407,3.8616564124822617,4.169029474258423,True,4,28,2041301681
LSTM_Config2,215837656,282.84927,211.82939,3.5926204174757004,4.0353593826293945,True,4,29,215837656
LSTM_Config2,1310677355,294.21713,227.06062,3.82961742579937,4.487905979156494,True,4,30,1310677355
LSTM_Config2,200547478,345.04343,296.61572,4.877668991684914,4.11974310874939,True,4,31,200547478
LSTM_Config2,1940088413,317.9858,252.76167,4.318524524569511,4.087296962738037,True,4,32,1940088413
LSTM_Config2,597551533,304.5292,245.22212,4.107099771499634,4.871245622634888,True,4,33,597551533
LSTM_Config2,186699714,696.3558,661.4823,10.958462953567505,4.145660638809204,True,4,34,186699714
LSTM_Config2,1980614225,697.88074,597.09406,10.011153668165207,4.108303070068359,True,4,35,1980614225
LSTM_Config2,1857381341,286.55536,226.22368,3.819241374731064,4.62782096862793,True,4,36,1857381341
LSTM_Config2,617684293,323.9208,280.18066,4.628345742821693,4.155041694641113,True,4,37,617684293
LSTM_Config2,267047442,317.89786,230.74023,3.939412534236908,4.082763195037842,True,4,38,267047442
LSTM_Config2,2019199670,412.71097,309.9609,5.300474166870117,4.667389392852783,True,4,39,2019199670
LSTM_Config2,2115934629,414.1406,368.74878,5.996938049793243,4.152783632278442,True,4,40,2115934629
LSTM_Config2,86453689,293.61804,211.90515,3.612140193581581,4.057709693908691,True,4,41,86453689
LSTM_Config2,791857963,575.1279,494.483,8.07943269610405,4.531874656677246,True,4,42,791857963
LSTM_Config2,20180826,298.60904,228.82344,3.872445970773697,4.19441032409668,True,4,43,20180826
LSTM_Config2,1371274105,252.03955,184.26082,3.083556331694126,4.075574636459351,True,4,44,1371274105
