seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,456,same_seeds,both_layers_seed_456,global_seed,True,6,2075156.125,575.8180618774746,416.0360165550595,8.118077706706133,390.8939427610625,341.724365234375,5.539537551308815,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,7,2014696.25,559.3079855966645,405.9703311011905,7.887783284529018,416.60030382212136,362.8623046875,5.860231747649988,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,8,2188124.75,593.3705345537668,425.3485863095238,8.331141474734379,369.8334360304477,322.16796875,5.242837730222004,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,9,2170569.5,551.8490781022255,401.5318080357143,7.781886341486513,430.9179797016373,373.79150390625,6.026044066673897,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,10,2124466.5,546.0059103304543,398.6367885044643,7.706502481215474,443.8348456495877,383.271240234375,6.169865863023345,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,11,1793270.75,582.9446010765907,419.95249720982144,8.207683491974294,381.69016268427976,333.499755859375,5.414757910436782,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,12,1981448.875,642.9732485505248,455.9706101190476,8.98118295855091,333.030135424515,276.25390625,4.54739399967416,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,13,2138133.0,558.9218582419944,405.7132859002976,7.88190230639948,417.292110021257,363.402099609375,5.8684212449774655,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,14,2161002.0,565.5536982196875,409.9736560639881,7.979375994565505,406.0442444807416,354.455322265625,5.732685234546555,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,15,2123288.75,532.3152130195512,396.73809523809524,7.599102348166507,484.36204020696016,417.337890625,6.7001868503369835,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,16,2289998.75,587.1081000294587,422.1504603794643,8.257971041733255,376.7411129831886,328.884033203125,5.344730485528011,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,17,2207192.5,558.9499137728255,405.7320033482143,7.882330545874313,417.2416786882491,363.36279296875,5.867824904376052,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,18,2367236.0,534.7869729192496,396.73809523809524,7.615076205449762,475.40139710349496,407.9684244791667,6.550507340869531,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,19,1908494.25,622.0168023963861,441.70282273065476,8.687529672259865,345.14269710852875,294.088623046875,4.8168320060586485,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,20,2096510.875,627.3213206502917,444.92401413690476,8.755704575663842,341.64579438320715,289.2568359375,4.743526559831554,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,21,1886620.125,522.4739158441721,419.0308779761905,7.828364729801124,582.0303270537635,519.4928385416666,8.341976305540504,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,22,2006161.75,522.2371560916408,410.59351748511904,7.7189657807402225,557.6029807634415,494.8838704427083,7.94647177881637,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,23,2193175.25,575.0512727882214,415.6016787574405,8.108140422991998,391.9438548949937,342.636474609375,5.553375616444705,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,24,2104428.0,535.1972258084342,396.73809523809524,7.617576072288025,474.01137015095884,406.7135416666667,6.530772490017379,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,25,2297786.25,530.4998071506762,396.73809523809524,7.58612768261528,491.73662814390116,425.4791666666667,6.831029863129795,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,26,1940332.375,570.1884009739431,412.7809244791667,8.04360393617291,398.8981743793657,348.56005859375,5.643245256271294,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,27,2344983.5,561.2224471063776,407.2274228050595,7.916544486028207,413.2409369525281,360.222412109375,5.8201806239041645,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,28,1938230.25,587.0411307984422,422.11558314732144,8.257173079978909,376.8183860792574,328.957275390625,5.34584167919524,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,29,2065363.25,716.9482210222258,528.1889415922619,10.357965334930846,321.00184470225486,263.5833333333333,4.421586820419419,True
