config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_7_bs_32_epochs_200,1789.5232020465903,1719.4918983828147,900.8016158482228,0.5033752090042867,70.03130366377559,1.0407279055688718,49.0,81.0,32.0
lookback_7_bs_32_epochs_100,2322.2780362422204,1727.714756174708,2099.3809657522647,0.9040179224832893,594.5632800675123,1.3441327788297188,135.0,82.0,53.0
lookback_10_bs_48_epochs_150,1986.3206113542285,1729.8314029361195,1611.1631480377878,0.8111294515236053,256.489208418109,1.1482741080909726,90.0,83.0,7.0
lookback_12_bs_48_epochs_100,2653.6506761878964,1730.3903043692835,2917.0983376143163,1.099277445893849,923.2603718186128,1.5335561401883464,181.0,84.0,97.0
lookback_4_bs_8_epochs_100,1917.7745292998595,1736.322360170686,1091.6441732354283,0.5692244612477805,181.45216912917363,1.1045037334607246,76.0,85.0,9.0
lookback_5_bs_16_epochs_150,1748.2903101115808,1737.4103172483394,1106.409809280606,0.6328524518390723,10.879992863241341,1.0062621896251156,40.0,86.0,46.0
lookback_18_bs_16_epochs_150,2152.3847723698955,1743.130299814646,1495.7110154344894,0.6949087517412735,409.25447255524955,1.2347813428512873,112.0,87.0,25.0
lookback_5_bs_48_epochs_50,2135.342974217074,1746.295808875409,1461.4297707173928,0.6844004866493298,389.0471653416648,1.2227842289744748,109.0,88.0,21.0
lookback_9_bs_8_epochs_100,1674.785176367451,1754.6167257817913,1006.3699285560276,0.6008949343215516,79.83154941434032,0.9545020013537313,34.0,89.0,55.0
lookback_11_bs_16_epochs_150,1805.606714931971,1755.832553552807,892.6778907704931,0.4943922081083566,49.77416137916407,1.0283478975705567,53.0,90.0,37.0
lookback_4_bs_8_epochs_200,1831.4382286849864,1758.4096277369708,1002.2348318106726,0.5472392222206149,73.02860094801554,1.041531051579831,59.0,91.0,32.0
lookback_18_bs_16_epochs_100,2717.598682094263,1759.563935148608,2638.659377521386,0.9709525526734345,958.0347469456551,1.5444728252314073,187.0,92.0,95.0
lookback_8_bs_16_epochs_50,3388.311282810625,1773.3325990610097,4044.473819822935,1.1936547389672,1614.9786837496154,1.9107026423609177,205.0,93.0,112.0
lookback_18_bs_32_epochs_100,3038.705351468261,1777.0531888616588,4177.73158155253,1.3748393142276552,1261.6521626066024,1.7099687114119466,198.0,94.0,104.0
lookback_7_bs_16_epochs_100,2231.729265384886,1777.25147752902,2312.0767640629865,1.0360023502511375,454.4777878558659,1.2557194598525492,120.0,95.0,25.0
lookback_1_bs_32_epochs_100,1772.7960345965716,1779.795497935981,1075.0706630984048,0.6064265951176129,6.999463339409431,0.9960672653978917,45.0,96.0,51.0
