Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2018-05-01,5946.0,5892.827662404123,5892.827662404122,5892.827662404124,3524.8537941628288,8260.801530645416,5813.3438,5783.548,5843.1396,2904.4458,8722.242,Train,2020-2022,36
2018-06-01,5981.0,5804.111875426256,5804.111875426255,5804.111875426257,3436.138007184962,8172.085743667551,5853.177,5818.3066,5888.047,2944.2788,8762.074,Train,2020-2022,36
2018-07-01,6104.0,6072.722326955382,6072.7223269553815,6072.722326955383,3704.7484587140884,8440.696195196677,5864.5454,5830.84,5898.251,2955.6475,8773.443,Train,2020-2022,36
2018-08-01,5991.0,6014.555658397906,6014.555658397906,6014.555658397906,3646.581790156612,8382.5295266392,5872.496,5843.6323,5901.36,2963.5981,8781.395,Train,2020-2022,36
2018-09-01,5670.0,5916.752688999301,5916.752688999301,5916.752688999301,3548.7788207580074,8284.726557240596,5869.9287,5837.5933,5902.264,2961.0308,8778.826,Train,2020-2022,36
2018-10-01,5709.0,5475.946079768534,5475.946079768533,5475.946079768535,3107.9722115272402,7843.919948009829,5887.407,5855.469,5919.345,2978.5093,8796.305,Train,2020-2022,36
2018-11-01,5416.0,5687.687115282477,5687.687115282476,5687.687115282478,3319.713247041183,8055.6609835237705,5867.208,5830.7427,5903.6733,2958.31,8776.105,Train,2020-2022,36
2018-12-01,5793.0,5811.278215129182,5811.278215129182,5811.278215129182,3443.304346887888,8179.252083370477,5836.277,5792.6187,5879.935,2927.379,8745.175,Train,2020-2022,36
2019-01-01,5750.0,5718.458649500855,5718.458649500855,5718.458649500855,3350.4847812595613,8086.432517742149,5843.9546,5805.339,5882.5703,2935.0566,8752.853,Train,2020-2022,36
2019-02-01,5399.0,5267.738013640288,5267.738013640287,5267.738013640289,2899.764145398994,7635.711881881582,5820.108,5785.3374,5854.8784,2911.21,8729.006,Train,2020-2022,36
